0,1192
1,90
2,50
3,30
4,80
5,80
6,40
7,70
8,90
9,61
10,50
11,40
12,30
13,50
14,60
15,71
16,60
17,61
18,60
19,40
20,30
21,51
22,60
23,40
24,40
25,100
26,70
27,70
28,60
29,80
30,50
31,40
32,60
33,50
34,100
35,70
36,50
37,60
38,91
39,70
40,70
41,70
42,120
43,50
44,60
45,70
46,80
47,80
48,60
49,50
50,50
51,80
52,60
53,60
54,80
55,80
56,70
57,90
58,70
59,50
60,70
61,70
62,71
63,81
64,60
65,30
66,320
67,60
68,70
69,60
70,90
71,70
72,71
73,70
74,101
75,60
76,50
77,91
78,100
79,80
80,70
81,60
82,110
83,50
84,50
85,50
86,100
87,70
88,90
89,90
90,90
91,70
92,70
93,70
94,60
95,90
96,70
97,50
98,120
99,90
100,70
101,70
102,60
103,80
104,90
105,50
106,120
107,80
108,90
109,50
110,100
111,60
112,60
113,70
114,80
115,60
116,80
117,90
118,90
119,90
120,70
121,60
122,111
123,80
124,70
125,80
126,90
127,90
128,70
129,60
130,70
131,50
132,50
133,60
134,90
135,50
136,80
137,80
138,110
139,80
140,70
141,70
142,50
143,70
144,90
145,70
146,170
147,90
148,40
149,70
150,40
151,80
152,70
153,80
154,70
155,70
156,70
157,70
158,90
159,70
160,70
161,80
162,221
163,70
164,110
165,120
166,61
167,50
168,100
169,90
170,60
171,60
172,80
173,70
174,60
175,300
176,150
177,100
178,120
179,80
180,100
181,80
182,81
183,90
184,70
185,80
186,60
187,90
188,60
189,71
190,70
191,60
192,81
193,71
194,200
195,70
196,80
197,80
198,71
199,90
200,60
201,60
202,70
203,70
204,70
205,80
206,71
207,70
208,60
209,90
210,110
211,60
212,90
213,110
214,80
215,80
216,70
217,60
218,80
219,100
220,70
221,80
222,61
223,60
224,71
225,80
226,120
227,70
228,80
229,80
230,70
231,80
232,70
233,60
234,60
235,70
236,120
237,70
238,90
239,50
240,100
241,70
242,151
243,80
244,70
245,110
246,100
247,90
248,80
249,71
250,100
251,90
252,80
253,60
254,91
255,110
256,100
257,70
258,110
259,100
260,80
261,180
262,80
263,80
264,60
265,50
266,80
267,60
268,100
269,60
270,80
271,90
272,70
273,80
274,120
275,80
276,70
277,90
278,100
279,60
280,70
281,70
282,70
283,100
284,70
285,110
286,70
287,70
288,91
289,70
290,120
291,80
292,80
293,81
294,100
295,70
296,80
297,81
298,91
299,60
300,130
301,90
302,100
303,70
304,90
305,70
306,300
307,90
308,80
309,70
310,70
311,81
312,70
313,70
314,80
315,90
316,80
317,70
318,70
319,100
320,81
321,80
322,120
323,70
324,90
325,71
326,80
327,80
328,80
329,50
330,90
331,80
332,70
333,70
334,111
335,80
336,90
337,81
338,171
339,60
340,70
341,70
342,100
343,80
344,81
345,100
346,80
347,80
348,80
349,90
350,81
351,71
352,70
353,80
354,120
355,70
356,80
357,80
358,100
359,70
360,110
361,100
362,90
363,130
364,80
365,100
366,100
367,81
368,80
369,100
370,120
371,91
372,110
373,110
374,70
375,80
376,60
377,70
378,61
379,100
380,120
381,101
382,90
383,110
384,90
385,90
386,120
387,100
388,110
389,70
390,100
391,110
392,100
393,90
394,90
395,80
396,80
397,130
398,110
399,120
400,80
401,100
402,120
403,80
404,80
405,70
406,80
407,19287
408,141
409,80
410,61
411,40
412,50
413,80
414,50
415,50
416,70
417,71
418,120
419,40
420,80
421,50
422,50
423,50
424,60
425,70
426,61
427,40
428,60
429,40
430,41
431,100
432,70
433,80
434,121
435,70
436,60
437,70
438,60
439,60
440,50
