0,15339221
1,16502294
2,10465724
3,11425008
4,16444344
5,3570360
6,4456195
7,4060342
8,5693748
9,22852121
10,19465640
11,13031804
12,16202725
13,13470648
14,17560074
15,15130957
16,1601486
17,9776653
18,12470998
19,16297184
20,17011593
21,10990051
22,5057048
23,3290629
24,13734350
25,2902821
26,6948054
27,12107536
28,5617503
29,9960103
30,22177517
31,17894692
32,25986462
33,7702929
34,8313811
35,14566362
36,9875572
37,10981245
38,23957042
39,12673483
40,9845524
41,18275265
42,5979100
43,4902533
44,14276731
45,2429160
46,36859460
47,12456370
48,10608736
49,13413281
50,10015559
51,7493722
52,3267684
53,11718516
54,10341297
55,17975957
56,14662468
57,12749968
58,9054931
59,18155679
60,26273168
61,5323795
62,12981980
63,23820181
64,11612205
65,27618617
66,12991788
67,22275404
68,10628193
69,14390360
70,12640600
71,20169689
72,10100089
73,15203404
74,31256837
75,17044746
76,16547460
77,28699573
78,10443992
79,4859933
80,12849718
81,17380014
82,10790172
83,16984602
84,10783328
85,21892135
86,13374105
87,1380846
88,13274628
89,20645945
90,23688240
91,10986093
92,1145028
93,14800479
94,11376136
95,13117717
96,13081749
97,1072509
98,14724635
99,28938046
